_id,name,price,description,category,rating,supply
63701d24f03239c72c00018e,Router-Aggregator,311.71,High-performance router for data aggregation,networking,4.15,1320
63701d24f03239c72c00018f,Switch-TopRack,649.77,Top of rack switch for data center distribution,networking,4.84,633
63701d24f03239c72c000190,LoadBalancer-TrafficManager,576.06,Traffic load balancer for high availability,networking,4.48,977
63701d24f03239c72c000191,Firewall-EdgeProtector,77.54,Firewall for edge security and traffic control,security,4.72,190
63701d24f0323986f300012a,StorageArray-BlockStore,517.21,High-capacity block storage array for large data sets,storage,3.53,1235
63701d24f0323986f300012b,Server-BladeCompute,408.58,Blade server for efficient compute performance,compute,3.93,1011
63701d24f03239b7f7000015,UPS-PowerBackup,555.73,Uninterruptible Power Supply for backup power,power management,4.5,880
63701d24f03239b7f7000016,Hypervisor-VirtualizationManager,269.45,Hypervisor for managing virtualized environments,virtualization,4.83,1101
63701d24f03239b7f7000017,Monitoring-NetworkObserver,642.61,Network monitoring tool for performance tracking,monitoring,4.96,736
63701d24f03239b7f7000018,Storage-SANController,949.37,Storage Area Network controller for managing storage,storage,4.56,1026
63701d24f032390a34000327,Switch-CoreNetwork,530.86,High-performance core switch for network backbone,networking,1.53,450
63701d24f032390a34000328,CableManagement-System,934.46,Efficient cable management system for data centers,accessories,2.64,480
63701d24f032390a34000329,Firewall-SecurityShield,867.33,Advanced firewall for network protection,security,3.89,1164
63701d24f032390a3400032a,LoadBalancer-TrafficBalancer,22.98,Traffic load balancer for network optimization,networking,3.26,617
63701d24f032395b3300012a,PatchPanel-RackMount,607.7,Rack-mountable patch panel for network cabling,networking,2.71,385
63701d24f032395b3300012b,KVM-SwitchController,988.4,KVM switch for remote server management,monitoring,2.54,314
63701d24f032395b3300012c,Server-RackMountBlade,786.02,Rack-mountable blade server for compute performance,compute,1.11,858
63701d24f032395b3300012d,PowerDistributionUnit,211.21,Power distribution unit for efficient power management,power management,4.98,1185
63701d25f03239d591000327,CoolingSystem-AdvancedFan,247.93,Advanced cooling system for optimized data center cooling,accessories,1.17,659
63701d25f03239d591000328,UPS-BackupPowerSystem,342.56,Uninterruptible Power Supply for backup power management,power management,1.43,157
63701d25f03239d591000329,NetworkAnalyzer-DataProbe,379.85,Network analyzer for data traffic analysis,monitoring,4.21,850
63701d25f03239d59100032a,CloudStorage-SpaceSaver,788.62,Cloud storage solution for scalable data management,storage,4.67,920
63701d25f03239d59100032b,AccessPoint-WiFiPlus,189.34,High-speed WiFi access point for large spaces,networking,4.04,1100
63701d25f03239d59100032c,Server-RackMountUnit,635.45,Server rack mount unit for efficient space utilization,compute,3.92,675
63701d25f03239d59100032d,BackupGenerator-EcoPower,1120.77,Backup generator for emergency power supply,power management,4.58,260
63701d25f03239d59100032e,EnvironmentalMonitor-TempSensor,456.99,Environmental monitor for temperature and humidity,monitoring,4.3,515
63701d25f03239d59100032f,SecurityCamera-360View,399.54,360-degree security camera for comprehensive surveillance,security,4.7,740
63701d25f03239d591000330,LoadBalancer-HighPerfBalancer,275.66,High-performance load balancer for advanced traffic management,networking,4.66,590
63701d25f03239d591000331,Router-EdgeRouterX,293.75,Edge router for optimized network performance,networking,4.23,980
63701d25f03239d591000332,Server-HighCapacity,1347.89,High-capacity server for demanding applications,compute,4.85,350
63701d25f03239d591000333,DataCenterCooling-System,657.32,Advanced cooling system for large data centers,accessories,4.1,290
63701d25f03239d591000334,NetworkSwitch-MultiGig,743.29,Multi-gigabit network switch for high-speed connectivity,networking,4.52,410
63701d25f03239d591000335,Storage-HighSpeedSSD,1123.47,High-speed SSD for fast data access,storage,4.78,670
63701d25f03239d591000336,Server-ClusterManager,859.99,Server for managing clustered environments,compute,4.66,520
63701d25f03239d591000337,PowerSupply-Redundant,394.88,Redundant power supply for high availability,power management,4.55,160
63701d25f03239d591000338,Firewall-NextGenProtector,978.44,Next-generation firewall for enhanced security,security,4.9,290
63701d25f03239d591000339,UPS-MultiOutput,662.98,UPS with multiple output configurations for flexible power management,power management,4.35,340
63701d25f03239d59100033a,NetworkSwitch-EdgeSeries,414.67,Edge series network switch for scalable connectivity,networking,4.15,620
63701d25f03239d591000332,Server-HighCapacity,1347.89,High-capacity server for demanding applications,compute,4.85,350
63701d25f03239d591000333,DataCenterCooling-System,657.32,Advanced cooling system for large data centers,accessories,4.1,290
